Week,Topic Title,CFR Cite,Bullet 1,Bullet 2,Bullet 3,Crew Sign-In
1,Fall Protection—When it’s Required & at What Heights,"1926.501, .502, .503",Identify trigger heights for fall protection.,"Review guardrails, PFAS, nets.",Ensure training and retraining is documented.,
2,"Guardrails, PFAS, Safety Nets: Selection & Limits",1926.502,Load ratings for rails and anchors.,Inspection before each use.,Removal of defective systems immediately.,
3,"Scaffolds—Design Loads, Planking, Access, Fall Prot.",1926.451,Scaffold must support 4x intended load.,Guardrails required above 10 ft.,Competent person daily inspection.,
4,"Portable & Job-Made Ladders—Set-Up, Angle, Use",1926.1053,Set at 4:1 angle.,Secure ladders to prevent displacement.,Inspect before each use.,
5,"Stairways—Handrails, Landings, Treads",1926.1052,Handrails on stairways with 4+ risers.,Uniform riser height & tread depth.,Keep clear of debris.,
6,Aerial Lifts/Scissor & Boom-Type—Operation & Fall Prot.,"1926.453, 1910.67",Fall protection tied-off in boom lifts.,Operate only on stable surfaces.,Never use lift for hoisting material.,
7,Housekeeping to Prevent Trips/Struck-bys,1926.25,Keep work areas clear.,Remove scrap regularly.,Maintain walkways.,
8,Illumination Levels for Tasks & Paths,1926.56,Provide proper lighting per task.,Replace burned-out lamps promptly.,Temporary lighting must be guarded.,
9,"Excavation Basics—Competent Person, Inspections",1926.651,Competent person must inspect daily.,Check for cave-in potential.,Maintain safe access/egress.,
10,"Cave-In Protection—Sloping, Shoring, Shielding",1926.652,Protective system required >5 ft depth.,"Choose slope, shoring, or shield.",Remove employees from unprotected trenches.,
11,Water Accumulation & Atmospheric Hazards in Trenches,1926.651(h),Provide pumps to control water.,Test atmosphere if >4 ft and hazard suspected.,Use ventilation where needed.,
12,Locating Underground Utilities,1926.651(b),Identify and mark utilities before digging.,Use safe methods to expose lines.,Coordinate with utility companies.,
13,Confined Spaces in Construction—Scope & Roles,1926.1201–.1213,Identify permit-required spaces.,Assign entry supervisor & attendants.,Provide rescue capability.,
14,Confined Space Atmospheric Testing & Ventilation,1926.1204–.1207,"Test oxygen, flammables, toxics before entry.",Ventilate when hazards present.,Continuous monitoring required.,
15,Cranes & Derricks—What’s Covered & Employer Duties,1926.1400,Follow Subpart CC rules.,Ensure operator certification.,Perform daily inspections.,
16,Power-Line Safety & Working Distances,1926.1407–.1411,Maintain minimum approach distances.,De-energize if possible.,Use spotters where needed.,
17,Signal Person Qualification & Hand/Voice Signals,1926.1428,Signal person must be qualified.,Use standardized hand signals.,Maintain clear line of sight.,
18,"Rigging Hardware, Slings, and Taglines",1926.251,Inspect slings before use.,Tag defective rigging ‘Do Not Use’.,Keep loads balanced.,
19,Material Hoists & Elevators—Operation Safeguards,1926.552,Guard hoistways.,Post load limits.,Only authorized operators allowed.,
20,"Material Storage—Stacking, Rack Stability, Edge Setbacks",1926.250,"Stack safely, stable and secure.",Keep 10 ft clearance from buildings.,Don’t overload storage racks.,
21,"Waste & Oily Rag Disposal, Burn Rules",1926.252,Provide metal containers for oily rags.,Dispose combustible scrap promptly.,Control open burning.,
22,"Motor Vehicles on Sites—Inspections, Brakes, Alarms",1926.601,Inspect vehicles daily.,Equip with backup alarms.,Maintain service brakes.,
23,"Earth-Moving/Material-Handling Equip.—Seatbelts, ROPS",1926.602,Operators must wear seatbelts.,Roll-over protection required.,Maintain equipment in good repair.,
24,Forklifts/PIT on Construction,1910.178,Operator must be trained.,No riders unless designed.,Lower forks when parked.,
25,"Oxy-Fuel Gas—Cylinder Separation, Hose ID, Fire Prevention",1926.350,Store oxygen away from fuel gas.,Check hoses for leaks.,Keep sparks away from cylinders.,
26,"Arc Welding—Grounding, Cable Integrity, ‘Unattended’ Holders",1926.351,Inspect electrode holders.,Ground work properly.,Remove electrode when unattended.,
27,"Hot Work on Coated Steel—Lead/Zinc, Ventilation, Respirators",1926.354,Provide local exhaust.,Use respirators where needed.,Remove coatings safely.,
28,"Fire Protection—Extinguishers, Standpipes, Program",1926.150,Provide fire extinguishers within 100 ft.,Maintain standpipes where required.,Train workers on extinguisher use.,
29,Flammable/Combustible Liquids—Dispensing & Storage,1926.152,Store in approved containers.,Keep away from ignition sources.,Bond and ground during dispensing.,
30,Emergency Action Plan (EAP) for Sites,1926.35,Post evacuation routes.,Assign emergency roles.,Conduct drills periodically.,
31,"Temporary Power, GFCI vs AEGCP, Cords & Boxes",1926.404(b),Use GFCI on all 120v circuits.,Inspect cords weekly.,Don’t use damaged cords.,
32,Lockout/Tagout Basics During Servicing,1910.147,De-energize before maintenance.,Apply locks & tags.,Verify zero energy state.,
33,Machine Guarding on Site-Built or Fixed Equipment,1910.212,Guard rotating/moving parts.,Replace guards after servicing.,Train workers on hazard awareness.,
34,"Hazard Communication—SDS, Labeling, Training",1910.1200,Keep SDS accessible.,Label secondary containers.,Train workers on hazards.,
35,Respirable Crystalline Silica—Table 1 Controls & PEL,1926.1153,Use Table 1 controls when applicable.,Monitor exposure if controls inadequate.,Provide respirators as last resort.,
36,"Lead in Construction—Exposure Control, PPE, Med. Surv.",1926.62,Assess exposure levels.,Provide protective clothing.,Medical surveillance if exposed.,
